license_plate,car_brand,car_color
30F-12345,Toyota Vios,White
51G-67890,Hyundai Accent,Black
43A-11111,VinFast Lux A,Red
29D-88888,Mazda CX5,Grey
51F-065.32,Chevrolet Cruze,Black
51G-100.96,Chevrolet Spark,White
30M-718.54,VinFast Fadil,Yellow
30A-123.45,Kia Morning,Blue
29B-456.78,Honda City,Silver
51K-789.01,Toyota Camry,Black
43H-321.65,Ford Ranger,White
30G-908.23,Hyundai i10,Red
59A-555.99,Toyota Innova,Grey
30E-246.80,VinFast VF8,Blue
51H-864.20,Mitsubishi Xpander,Brown
29F-159.37,Mazda 3,Silver
30L-753.91,Kia Seltos,White
51F-482.16,Toyota Fortuner,Black
30K-609.45,Hyundai Accent,Yellow
29C-871.34,Suzuki Ertiga,Red
