index,label,status,note
00,51G10096,confirmed,legible original hand label
01,51G49539,confirmed,legible original hand label
02,51A02923,confirmed,legible original hand label
03,51F07973,confirmed,legible original hand label
04,52Y6490,confirmed,legible original hand label
05,51F82606,confirmed,legible original hand label
06,51G37307,confirmed,legible original hand label
07,51F16159,confirmed,legible original hand label
08,51F73420,confirmed,legible original hand label
09,93LD00103,confirmed,legible original hand label
10,51G51332,confirmed,legible original hand label
11,51G59323,confirmed,legible original hand label
12,29A51796,confirmed,legible original hand label
13,51G47281,confirmed,legible original hand label
14,60LD00584,confirmed,legible original hand label
15,72S14860,confirmed,legible two-line original hand label
